type;word;trash;polarity
weak;adept;"adj stemmed1=n";positive
weak;adeptly;"adverb stemmed1=n";positive
weak;adequate;"adj stemmed1=n";positive
weak;adherence;"noun stemmed1=n";positive
weak;adherent;"adj stemmed1=n";positive
weak;adhesion;"noun stemmed1=n";positive
strong;admirable;"adj stemmed1=n";positive
strong;admirer;"noun stemmed1=n";positive
strong;admirable;"anypos stemmed1=n";positive
strong;admirably;"anypos stemmed1=n";positive
strong;admiration;"noun stemmed1=n";positive
strong;admire;"verb stemmed1=y";positive
strong;admiring;"adj stemmed1=n";positive
strong;admiringly;"adj stemmed1=n";positive
weak;admission;"adj stemmed1=n";positive
weak;admission;"noun stemmed1=n";positive
strong;admit;"verb stemmed1=y";positive
strong;admittedly;"anypos stemmed1=y";positive
strong;admonish;"verb stemmed1=y";negative
strong;admonisher;"anypos stemmed1=y";negative
strong;admonishingly;"anypos stemmed1=y";negative
strong;admonishment;"anypos stemmed1=y";negative
strong;admonition;"noun stemmed1=n";negative
strong;adolescents;"adj stemmed1=n";neutral
strong;adolescents;"noun stemmed1=n";neutral
strong;adorable;"adj stemmed1=n";positive
strong;adore;"verb stemmed1=y";positive
strong;adored;"adj stemmed1=n";positive
strong;adorer;"anypos stemmed1=y";positive
strong;adorer;"noun stemmed1=n";positive
strong;adoring;"adj stemmed1=n";positive
strong;adoringly;"anypos stemmed1=n";positive
weak;adrift;"anypos stemmed1=n";negative
strong;adroit;"adj stemmed1=n";positive
strong;adroitly;"adj stemmed1=n";positive
strong;adulate;"verb stemmed1=y";positive
strong;adulation;"anypos stemmed1=y";positive
strong;adulatory;"adj stemmed1=n";positive
strong;adulterate;"verb stemmed1=y";negative
strong;adulterated;"anypos stemmed1=n";negative
strong;adulteration;"noun stemmed1=n";negative
weak;advanced;"adj stemmed1=n";positive
weak;advantage;"adj stemmed1=n";positive
weak;advantage;"noun stemmed1=n";positive
strong;advantageous;"adj stemmed1=n";positive
weak;advantages;"adj stemmed1=n";positive
weak;advantages;"noun stemmed1=n";positive
weak;adventure;"adj stemmed1=n";positive
weak;adventure;"noun stemmed1=n";positive
strong;adventuresome;"noun stemmed1=n";positive
strong;adventurism;"noun stemmed1=n";positive
weak;adventurous;"adj stemmed1=n";positive
weak;adversarial;"adj stemmed1=n";negative
weak;adversary;"noun stemmed1=y";negative
weak;adverse;"adj stemmed1=n";negative
strong;adversity;"noun stemmed1=n";negative
weak;advice;"adj stemmed1=n";positive
weak;advice;"noun stemmed1=n";positive
weak;advisable;"noun stemmed1=n";positive
strong;advocate;"verb stemmed1=y";positive
strong;advocacy;"noun stemmed1=n";positive
strong;affable;"adj stemmed1=n";positive
weak;affability;"noun stemmed1=n";positive
weak;affably;"adverb stemmed1=n";positive
weak;affect;"verb stemmed1=y";neutral
weak;affectation;"noun stemmed1=n";negative
strong;affected;"adj stemmed1=n";neutral
strong;affection;"adj stemmed1=n";positive
strong;affection;"noun stemmed1=n";positive
strong;affectionate;"adj stemmed1=n";positive
weak;affinity;"noun stemmed1=n";positive
strong;affirm;"verb stemmed1=y";positive
strong;affirmation;"adj stemmed1=n";positive
strong;affirmation;"noun stemmed1=n";positive
weak;affirmative;"noun stemmed1=n";positive
weak;afflict;"verb stemmed1=y";negative
weak;affliction;"noun stemmed1=n";negative
strong;afflictive;"adj stemmed1=n";negative
weak;affluent;"adj stemmed1=n";positive
weak;affluence;"noun stemmed1=n";positive
weak;afford;"verb stemmed1=y";positive
weak;affordable;"adj stemmed1=n";positive
strong;affront;"noun stemmed1=n";negative
strong;affront;"verb stemmed1=y";negative
weak;afloat;"adj stemmed1=n";positive
strong;afraid;"adj stemmed1=n";negative
weak;against;"anypos stemmed1=n";negative
strong;aggravate;"verb stemmed1=y";negative
strong;aggravating;"adj stemmed1=n";negative
strong;aggravation;"noun stemmed1=n";negative
strong;aggression;"adj stemmed1=n";negative
strong;aggression;"noun stemmed1=n";negative
strong;aggressive;"anypos stemmed1=y";negative
strong;aggressiveness;"noun stemmed1=n";negative
strong;aggressor;"noun stemmed1=n";negative
strong;aggrieve;"verb stemmed1=y";negative
strong;aggrieved;"adj stemmed1=n";negative
strong;aghast;"adj stemmed1=n";negative
weak;agile;"adj stemmed1=n";positive
weak;agilely;"adverb stemmed1=n";positive
weak;agility;"noun stemmed1=n";positive
strong;agitate;"verb stemmed1=y";negative
strong;agitated;"adj stemmed1=n";negative
strong;agitation;"noun stemmed1=n";negative
strong;agitator;"noun stemmed1=n";negative
strong;agonies;"noun stemmed1=n";negative
strong;agonize;"verb stemmed1=y";negative
strong;agonizing;"adj stemmed1=n";negative
strong;agonizing;"anypos stemmed1=y";negative
strong;agonizingly;"anypos stemmed1=n";negative
strong;agony;"noun stemmed1=n";negative
strong;agree;"verb stemmed1=y";positive
strong;agreeability;"anypos stemmed1=y";positive
weak;agreeable;"adj stemmed1=n";positive
strong;agreeable;"anypos stemmed1=y";positive
strong;agreeableness;"anypos stemmed1=y";positive
strong;agreeably;"anypos stemmed1=y";positive
weak;agreement;"adj stemmed1=n";positive
weak;agreement;"noun stemmed1=n";positive
strong;aha;"anypos stemmed1=y";neutral
weak;ail;"noun stemmed1=n";negative
weak;ail;"verb stemmed1=y";negative
weak;ailment;"noun stemmed1=n";negative
strong;aimless;"adj stemmed1=n";negative
strong;air;"verb stemmed1=y";neutral
weak;airs;"adj stemmed1=n";negative
weak;airs;"noun stemmed1=n";negative
weak;alarm;"adj stemmed1=n";negative
weak;alarm;"verb stemmed1=y";negative
strong;alarmed;"adj stemmed1=n";negative
strong;alarming;"adj stemmed1=n";negative
strong;alarmingly;"anypos stemmed1=n";negative
strong;alas;"anypos stemmed1=y";negative
weak;alert;"adj stemmed1=n";neutral
weak;alienate;"verb stemmed1=y";negative
weak;alienated;"adj stemmed1=n";negative
weak;alienation;"noun stemmed1=n";negative
weak;all-time;"adj stemmed1=n";neutral
weak;all-time;"noun stemmed1=n";neutral
strong;allay;"verb stemmed1=y";positive
strong;allegation;"anypos stemmed1=n";negative
strong;allegations;"adj stemmed1=n";negative
weak;allege;"verb stemmed1=n";negative
strong;allegations;"noun stemmed1=n";negative
strong;allegorize;"verb stemmed1=y";neutral
weak;allergic;"adj stemmed1=n";negative
weak;alleviate;"verb stemmed1=y";positive
strong;alliance;"anypos stemmed1=n";neutral
strong;alliances;"adj stemmed1=n";neutral
strong;alliances;"noun stemmed1=n";neutral
weak;allow;"verb stemmed1=y";positive
weak;allowable;"adj stemmed1=n";positive
strong;allure;"verb stemmed1=y";positive
strong;allure;"noun stemmed1=n";positive
strong;alluring;"anypos stemmed1=n";positive
strong;alluringly;"anypos stemmed1=n";positive
strong;allusion;"adj stemmed1=n";neutral
strong;allusion;"noun stemmed1=n";neutral
strong;allusions;"anypos stemmed1=n";neutral
strong;ally;"noun stemmed1=y";positive
strong;almighty;"adj stemmed1=n";positive
strong;aloof;"adj stemmed1=n";negative
weak;altercation;"noun stemmed1=n";negative
weak;although;"anypos stemmed1=y";negative
strong;altogether;"anypos stemmed1=n";neutral
strong;altruist;"noun stemmed1=n";positive
strong;altruistic;"adj stemmed1=n";positive
strong;altruistically;"adj stemmed1=n";positive
strong;amaze;"verb stemmed1=y";positive
strong;amazed;"adj stemmed1=n";positive
strong;amazement;"noun stemmed1=n";positive
strong;amazing;"adj stemmed1=n";positive
strong;amazing;"anypos stemmed1=y";positive
strong;amazingly;"anypos stemmed1=n";positive
strong;ambiguous;"adj stemmed1=n";negative
strong;ambiguity;"noun stemmed1=n";negative
weak;ambitious;"adj stemmed1=n";positive
weak;ambitious;"noun stemmed1=n";positive
weak;ambitiously;"anypos stemmed1=y";positive
strong;ambivalence;"anypos stemmed1=y";negative
strong;ambivalent;"adj stemmed1=n";negative
strong;ambivalent;"noun stemmed1=n";negative
weak;ambush;"noun stemmed1=n";negative
weak;ambush;"verb stemmed1=y";negative
strong;ameliorate;"verb stemmed1=y";positive
strong;amenable;"adj stemmed1=n";positive
weak;amenity;"noun stemmed1=n";positive
strong;amiability;"noun stemmed1=n";positive
strong;amiabily;"adverb stemmed1=n";positive
strong;amiable;"adj stemmed1=n";positive
strong;amicability;"noun stemmed1=n";positive
strong;amicable;"adj stemmed1=n";positive
strong;amicably;"adverb stemmed1=n";positive
strong;amiss;"anypos stemmed1=n";negative
weak;amity;"adj stemmed1=n";positive
weak;amity;"noun stemmed1=n";positive
weak;amnesty;"noun stemmed1=n";positive
strong;amour;"noun stemmed1=n";positive
weak;ample;"adj stemmed1=n";positive
weak;amply;"adverb stemmed1=n";positive
weak;amplify;"verb stemmed1=y";neutral
weak;amputate;"verb stemmed1=y";negative
strong;amuse;"verb stemmed1=y";positive
strong;amusement;"adj stemmed1=n";positive
strong;amusement;"noun stemmed1=n";positive
strong;amusing;"adj stemmed1=n";positive
strong;amusing;"anypos stemmed1=y";positive
strong;amusingly;"anypos stemmed1=y";positive
weak;analytical;"adj stemmed1=n";neutral
strong;anarchism;"noun stemmed1=n";negative
strong;anarchist;"noun stemmed1=n";negative
strong;anarchistic;"adj stemmed1=n";negative
strong;anarchy;"noun stemmed1=n";negative
weak;anemic;"adj stemmed1=n";negative
weak;angel;"noun stemmed1=n";positive
strong;angelic;"adj stemmed1=n";positive
strong;anger;"adj stemmed1=n";negative
strong;anger;"noun stemmed1=n";negative
strong;anger;"verb stemmed1=y";negative
strong;angrily;"anypos stemmed1=y";negative
strong;angriness;"anypos stemmed1=y";negative
strong;angry;"adj stemmed1=n";negative
strong;anguish;"noun stemmed1=n";negative
strong;anguish;"verb stemmed1=y";negative
strong;annihilate;"verb stemmed1=y";negative
strong;annihilation;"noun stemmed1=n";negative
weak;animated;"adj stemmed1=n";positive
strong;animosity;"noun stemmed1=n";negative
strong;annoy;"verb stemmed1=y";negative
strong;annoyance;"noun stemmed1=n";negative
strong;annoyed;"adj stemmed1=n";negative
strong;annoying;"adj stemmed1=n";negative
strong;annoying;"anypos stemmed1=y";negative
strong;annoyingly;"anypos stemmed1=n";negative
weak;anomalous;"adj stemmed1=n";negative
weak;anomaly;"noun stemmed1=n";negative
strong;antagonism;"noun stemmed1=n";negative
weak;antagonist;"noun stemmed1=n";negative
strong;antagonistic;"adj stemmed1=n";negative
strong;antagonize;"verb stemmed1=y";negative
strong;anti-;"noun stemmed1=n";negative
strong;anti-American;"adj stemmed1=n";negative
strong;anti-American;"noun stemmed1=n";negative
strong;anti-Israeli;"adj stemmed1=n";negative
strong;anti-Israeli;"noun stemmed1=n";negative
strong;anti-Semites;"adj stemmed1=n";negative
strong;anti-Semites;"noun stemmed1=n";negative
strong;anti-US;"adj stemmed1=n";negative
strong;anti-US;"noun stemmed1=n";negative
strong;anti-occupation;"adj stemmed1=n";negative
strong;anti-occupation;"noun stemmed1=n";negative
strong;anti-proliferation;"adj stemmed1=n";negative
strong;anti-proliferation;"noun stemmed1=n";negative
strong;anti-social;"adj stemmed1=n";negative
strong;anti-white;"adj stemmed1=n";negative
strong;anti-white;"noun stemmed1=n";negative
strong;antipathy;"noun stemmed1=n";negative
strong;antiquated;"adj stemmed1=n";negative
strong;antithetical;"adj stemmed1=n";negative
strong;antithetical;"noun stemmed1=n";negative
strong;anxieties;"noun stemmed1=n";negative
strong;anxiety;"noun stemmed1=n";negative
strong;anxious;"anypos stemmed1=n";negative
strong;anxiously;"anypos stemmed1=n";negative
strong;anxiousness;"noun stemmed1=n";negative
strong;anyhow;"anypos stemmed1=y";neutral
strong;anyway;"anypos stemmed1=y";neutral
strong;anyways;"anypos stemmed1=y";neutral
strong;apathetic;"adj stemmed1=n";negative
strong;apathetic;"noun stemmed1=n";negative
strong;apathetically;"adverb stemmed1=n";negative
strong;apathy;"noun stemmed1=n";negative
strong;ape;"verb stemmed1=y";negative
strong;apocalypse;"noun stemmed1=n";negative
strong;apocalyptic;"adj stemmed1=n";negative
strong;apologist;"adj stemmed1=n";negative
strong;apologist;"noun stemmed1=n";negative
strong;apologists;"adj stemmed1=n";negative
strong;apologists;"noun stemmed1=n";negative
strong;apostle;"adj stemmed1=n";positive
strong;apostle;"noun stemmed1=n";positive
strong;apotheosis;"adj stemmed1=n";positive
strong;apotheosis;"noun stemmed1=n";positive
strong;appal;"verb stemmed1=y";negative
strong;appall;"adj stemmed1=n";negative
strong;appall;"anypos stemmed1=y";negative
strong;appall;"verb stemmed1=y";negative
strong;appalled;"adj stemmed1=n";negative
strong;appalling;"adj stemmed1=n";negative
strong;appallingly;"anypos stemmed1=n";negative
weak;apparent;"anypos stemmed1=y";neutral
weak;apparently;"anypos stemmed1=y";neutral
weak;appeal;"adj stemmed1=n";positive
weak;appeal;"noun stemmed1=n";positive
weak;appeal;"verb stemmed1=y";positive
strong;appealing;"adj stemmed1=n";positive
weak;appear;"anypos stemmed1=y";neutral
weak;appearance;"adj stemmed1=n";neutral
weak;appearance;"noun stemmed1=n";neutral
weak;appease;"verb stemmed1=y";positive
strong;applaud;"verb stemmed1=y";positive
weak;appreciable;"adj stemmed1=n";positive
strong;appreciate;"verb stemmed1=y";positive
strong;appreciation;"adj stemmed1=n";positive
strong;appreciation;"noun stemmed1=n";positive
strong;appreciative;"anypos stemmed1=n";positive
strong;appreciatively;"anypos stemmed1=y";positive
strong;appreciativeness;"anypos stemmed1=y";positive
weak;apprehend;"verb stemmed1=y";neutral
strong;apprehension;"noun stemmed1=n";negative
strong;apprehensions;"adj stemmed1=n";negative
strong;apprehensions;"noun stemmed1=n";negative
strong;apprehensive;"adj stemmed1=n";negative
strong;apprehensive;"noun stemmed1=n";negative
strong;apprehensively;"anypos stemmed1=y";negative
weak;appropriate;"adj stemmed1=n";positive
weak;approval;"noun stemmed1=n";positive
weak;approve;"verb stemmed1=y";positive
weak;apt;"adj stemmed1=n";positive
weak;aptly;"adverb stemmed1=n";positive
weak;aptitude;"noun stemmed1=n";positive
strong;arbitrary;"adj stemmed1=n";negative
strong;arcane;"adj stemmed1=n";negative
strong;archaic;"adj stemmed1=n";negative
strong;ardent;"adj stemmed1=n";positive
strong;ardently;"anypos stemmed1=n";positive
strong;ardor;"noun stemmed1=n";positive
strong;arduous;"adj stemmed1=n";negative
strong;arduously;"anypos stemmed1=n";negative
weak;aristocratic;"adj stemmed1=n";positive
strong;argue;"verb stemmed1=y";negative
weak;argument;"adj stemmed1=n";negative
weak;argument;"noun stemmed1=n";negative
strong;argumentative;"anypos stemmed1=y";negative
weak;arguments;"adj stemmed1=n";negative
weak;arguments;"noun stemmed1=n";negative
strong;arousal;"anypos stemmed1=y";positive
strong;arouse;"verb stemmed1=y";positive
strong;arousing;"anypos stemmed1=y";positive
strong;arresting;"adj stemmed1=n";positive
strong;arrogance;"noun stemmed1=n";negative
strong;arrogant;"adj stemmed1=n";negative
strong;arrogant;"anypos stemmed1=y";negative
strong;arrogantly;"anypos stemmed1=n";negative
strong;arrogantly;"anypos stemmed1=y";negative
strong;articulate;"adj stemmed1=n";positive
weak;artificial;"adj stemmed1=n";negative
strong;ascendant;"adj stemmed1=n";positive
strong;ascendant;"noun stemmed1=n";positive
strong;ascertainable;"adj stemmed1=n";positive
strong;ascertainable;"noun stemmed1=n";positive
strong;ashamed;"adj stemmed1=n";negative
strong;asinine;"adj stemmed1=n";negative
strong;asininely;"adverb stemmed1=n";negative
strong;asinininity;"noun stemmed1=n";negative
strong;askance;"adverb stemmed1=n";negative
strong;asperse;"verb stemmed1=y";negative
strong;aspersion;"noun stemmed1=n";negative
strong;aspersions;"noun stemmed1=n";negative
strong;aspiration;"noun stemmed1=n";positive
strong;aspirations;"adj stemmed1=n";positive
strong;aspirations;"noun stemmed1=n";positive
strong;aspire;"verb stemmed1=y";positive
weak;assail;"verb stemmed1=y";negative
weak;assassinate;"verb stemmed1=y";negative
strong;assassin;"noun stemmed1=n";negative
weak;assault;"adj stemmed1=n";negative
weak;assault;"noun stemmed1=n";negative
strong;assent;"verb stemmed1=y";positive
strong;assertions;"adj stemmed1=n";positive
strong;assertions;"noun stemmed1=n";positive
weak;assertive;"adj stemmed1=n";positive
strong;assess;"verb stemmed1=y";neutral
weak;assessment;"adj stemmed1=n";neutral
weak;assessment;"noun stemmed1=n";neutral
weak;assessments;"adj stemmed1=n";neutral
weak;assessments;"noun stemmed1=n";neutral
weak;asset;"noun stemmed1=n";positive
strong;assiduous;"adj stemmed1=n";positive
strong;assiduously;"adverb stemmed1=n";positive
weak;assuage;"verb stemmed1=y";positive
weak;assumption;"adj stemmed1=n";neutral
weak;assumption;"noun stemmed1=n";neutral
weak;assurance;"adj stemmed1=n";positive
weak;assurance;"noun stemmed1=n";positive
weak;assurances;"adj stemmed1=n";positive
weak;assurances;"noun stemmed1=n";positive
strong;assure;"verb stemmed1=y";positive
strong;assuredly;"anypos stemmed1=n";positive
strong;astonish;"verb stemmed1=y";positive
strong;astonished;"adj stemmed1=n";positive
strong;astonishing;"adj stemmed1=n";positive
strong;astonishing;"anypos stemmed1=y";positive
strong;astonishingly;"anypos stemmed1=n";positive
strong;astonishment;"noun stemmed1=n";positive
strong;astound;"verb stemmed1=y";positive
strong;astounded;"adj stemmed1=n";positive
strong;astounding;"adj stemmed1=n";positive
strong;astounding;"anypos stemmed1=n";positive
strong;astounding;"anypos stemmed1=y";positive
strong;astoundingly;"anypos stemmed1=n";positive
weak;astray;"adj stemmed1=n";negative
strong;astronomic;"adj stemmed1=n";neutral
strong;astronomical;"adj stemmed1=n";neutral
strong;astronomically;"anypos stemmed1=n";neutral
strong;astute;"adj stemmed1=n";positive
strong;astutely;"adverb stemmed1=n";positive
strong;asunder;"anypos stemmed1=n";negative
weak;asylum;"adj stemmed1=n";positive
weak;asylum;"noun stemmed1=n";positive
strong;atrocious;"adj stemmed1=n";negative
strong;atrocities;"noun stemmed1=n";negative
strong;atrocity;"noun stemmed1=n";negative
strong;atrophy;"verb stemmed1=y";negative
weak;attack;"noun stemmed1=n";negative
weak;attack;"verb stemmed1=y";negative
weak;attain;"verb stemmed1=y";positive
weak;attainable;"adj stemmed1=n";positive
strong;attentive;"adj stemmed1=n";positive
strong;attest;"verb stemmed1=y";positive
strong;attitude;"adj stemmed1=n";neutral
strong;attitude;"noun stemmed1=n";neutral
weak;attitudes;"adj stemmed1=n";neutral
weak;attitudes;"noun stemmed1=n";neutral
strong;attraction;"adj stemmed1=n";positive
strong;attraction;"noun stemmed1=n";positive
strong;attractive;"adj stemmed1=n";positive
strong;attractive;"noun stemmed1=n";positive
strong;attractively;"anypos stemmed1=y";positive
weak;attune;"adj stemmed1=n";positive
strong;audacious;"adj stemmed1=n";negative
strong;audaciously;"anypos stemmed1=n";negative
strong;audaciousness;"noun stemmed1=n";negative
strong;audacity;"noun stemmed1=n";negative
strong;auspicious;"adj stemmed1=n";positive
strong;austere;"adj stemmed1=n";negative
weak;authentic;"adj stemmed1=n";positive
weak;authoritarian;"adj stemmed1=n";negative
weak;authoritative;"adj stemmed1=n";positive
strong;autocrat;"noun stemmed1=n";negative
strong;autocratic;"adj stemmed1=n";negative
weak;award;"adj stemmed1=n";positive
weak;award;"verb stemmed1=y";positive
strong;awareness;"noun stemmed1=n";neutral
strong;aware;"adj stemmed1=n";neutral
strong;autocratic;"adj stemmed1=n";negative
strong;autocratic;"noun stemmed1=n";negative
weak;autonomous;"adj stemmed1=n";positive
strong;avalanche;"adj stemmed1=n";negative
strong;avalanche;"noun stemmed1=n";negative
strong;avarice;"noun stemmed1=n";negative
strong;avaricious;"adj stemmed1=n";negative
strong;avariciously;"adj stemmed1=n";negative
strong;avenge;"verb stemmed1=y";negative
strong;aver;"verb stemmed1=y";positive
strong;averse;"anypos stemmed1=n";negative
strong;aversion;"noun stemmed1=n";negative
strong;avid;"adj stemmed1=n";positive
strong;avidly;"anypos stemmed1=n";positive
weak;avoid;"verb stemmed1=y";negative
weak;avoidance;"noun stemmed1=n";negative
strong;awe;"noun stemmed1=n";positive
strong;awe;"verb stemmed1=y";positive
strong;awed;"adj stemmed1=n";positive
strong;awesome;"adj stemmed1=n";positive
strong;awesome;"anypos stemmed1=y";positive
strong;awesomely;"anypos stemmed1=n";positive
strong;awesomeness;"noun stemmed1=n";positive
strong;awestruck;"adj stemmed1=n";positive
strong;awful;"adj stemmed1=n";negative
strong;awful;"anypos stemmed1=n";negative
strong;awfully;"anypos stemmed1=n";negative
strong;awfulness;"anypos stemmed1=y";negative
strong;awfulness;"noun stemmed1=n";negative
strong;awkward;"adj stemmed1=n";negative
strong;awkwardness;"noun stemmed1=n";negative
strong;ax;"verb stemmed1=y";negative
strong;babble;"verb stemmed1=y";negative
strong;baby;"adj stemmed1=n";neutral
strong;baby;"noun stemmed1=n";neutral
weak;back;"verb stemmed1=y";positive
strong;backbite;"verb stemmed1=y";negative
strong;backbiting;"anypos stemmed1=n";negative
weak;backbone;"noun stemmed1=n";positive
strong;backward;"adj stemmed1=n";negative
strong;backwardness;"noun stemmed1=n";negative
strong;bad;"adj stemmed1=n";negative
strong;badly;"adj stemmed1=n";negative
strong;baffle;"verb stemmed1=y";negative
strong;baffled;"adj stemmed1=n";negative
strong;bafflement;"noun stemmed1=n";negative
strong;baffling;"anypos stemmed1=n";negative
strong;bait;"verb stemmed1=y";negative
weak;balanced;"adj stemmed1=n";positive
strong;balk;"verb stemmed1=y";negative
strong;banal;"adj stemmed1=n";negative
strong;banal;"anypos stemmed1=y";negative
strong;banalize;"verb stemmed1=y";negative
strong;bane;"noun stemmed1=n";negative
strong;banish;"adj stemmed1=n";negative
strong;banish;"verb stemmed1=y";negative
strong;banishment;"noun stemmed1=n";negative
weak;bankrupt;"adj stemmed1=n";negative
weak;bankrupt;"verb stemmed1=y";negative
weak;bar;"verb stemmed1=y";negative
strong;barbarian;"adj stemmed1=n";negative
strong;barbarian;"noun stemmed1=n";negative
strong;barbaric;"adj stemmed1=n";negative
strong;barbarically;"anypos stemmed1=n";negative
strong;barbarity;"adj stemmed1=n";negative
strong;barbarity;"noun stemmed1=n";negative
strong;barbarous;"adj stemmed1=n";negative
strong;barbarous;"anypos stemmed1=y";negative
strong;barbarously;"anypos stemmed1=n";negative
weak;barely;"anypos stemmed1=y";negative
strong;bargain;"noun stemmed1=n";positive
strong;bargain;"adj stemmed1=n";positive
strong;barren;"adj stemmed1=n";negative
strong;baseless;"adj stemmed1=n";negative
strong;bashful;"adj stemmed1=n";negative
weak;basic;"adj stemmed1=n";positive
